PID,Social Media Post,Normalized Claim
308,Joint Election Rally by  @INCIndia  &  @CPIM_WESTBENGAL at brigade ground in Kolkata,Joint Election Rally by  @INCIndia  &  @CPIM_WESTBENGAL  at brigade ground in Kolkata .
309,A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion.,The claim: Texas teen got 96 years in prison for crossing state lines for abortion
310,"MaMa LEni Nyo Nagkakalat na ng FAKENEWS.
Ito ba ang gusto nyo Leader mukhang DESPERADA na ah?
#thevoice",Leni Robredo advised Filipinos to stock up on food in case President Rodrigo Duterte declares total lockdown or martial law
311,"100% of COVID Deaths in Canada Now Due to mRNA Vaccine, New Data Shows!
 #coronavirus #COVID19 #wuhan #china #disease #canada #death #data #science #health #facts #ccp",The claim: 100% of COVID-19 deaths in Canada now due to mRNA vaccine
312,"Coconut oil and aloe vera make hair long, voluminous and lustrous","Coconut oil and aloe vera make hair long, voluminous and lustrous"
313,MSU ALERT: There have been shots fired near Berkey Hall on the East Lansing campus. Please secure-in-place immediately. Police are active on scene. More information to follow.,The Michigan State University shooter is a 21-year-old man named Lynn Dee Walker.
314,"#BiharPoliticalCrisis | ""Nitish Sabke Hai"" poster appears at the JD(U) headquarters in Patna as Nitish Kumar forms an alliance with RJD after leaving NDA. | reported by news agency ANI",A poster saying ‘Nitish sabke hai’ (Nitish belongs to all) was put up after Nitish Kumar’s resignation on 09 August 2022 & the termination of his party’s ties with the BJP
315,Joe Biden wants to raise taxes on 82% of all Americans.,“Joe Biden wants to raise taxes on 82% of all Americans.”
316,"When #BBM lost in 2016 (many say he was cheated), he went through the process of a protest and accepted the verdict. Leni, doing poorly in all surveys, says the only way she'll lose is if she is cheated. There'll be trouble, it s said. This shows the stuff of which they're made.",Bongbong Marcos accepted the verdict of the Presidential Electoral Tribunal when it dismissed in its entirety his poll protest against Leni Robredo in 2016.
317,"Lord Macaulay's address to the British parliament on 2nd February,1835 about lndia",Lord Macaulay’s 1835 British Parliamentary address glorifying India and advocating a plan to conquer India.
318,"What is this called? Its indoctrination Now made with bonus trans fat
Closet free eggs
My son showed me this! He and his friends are disgusted! Ayden is 18 and bi sexual! Now I said!
Son, this IS disgusting however they are wakening more and more by pushing this agenda! Its not acceptable and they played it well, by calling those out who have an issue I.e like we are transphobic! What a lot of crock! We are against you brain washing our children to create transhumanism!",A bottle of mayonnaise from Kraft has been rebranded as “Gayo” for Pride month.
319,"Does this sound like an infrastructure bill to you? It's not. It's the Green New Deal. 
 
 ""It is the first step in a two-part agenda to overhaul American capitalism, fight climate change and attempt to improve the productivity of the economy.""",Says Joe Biden’s infrastructure plan “is the Green New Deal.”
320,"The 
 @USNatArchives
  thought it would be a good idea to put a ""harmful content"" warning on our nation's Founding documents.
 
 This label is an attack on our history and undermines documents written to preserve individual liberties and fundamental rights.",Says the U.S. National Archives put a ‘harmful content’ warning on our nation’s Founding documents.
321,"No candidate has ever won both Florida and Ohio and lost. I won them both, by a lot! #SupremeCourt",“No candidate has ever won both Florida and Ohio and lost.”
322,"Time of the year when 99% of population is in Manali 
 
 Joke apart , there is huge traffic congestion at Manali towards Atal Tunnel stretch
 
 Follow all traffic rules","Time of the year when 99% of population is in Manali 😂🥲

Joke apart , there is huge traffic congestion at Manali towards Atal Tunnel stretch

Follow all traffic rules"
323,The bigger you are... the harder you fall.,“Former Las Vegas Raiders offensive tackle Bruce Campbell involved in altercation.”
324,"Recently, a 105 year old woman was in the news who credited her health and longevity to eating 9 gin soaked raisins a day. Here is the recipe for Gin Soaked Raisins. Let s make them and do a taste test.",Gin-soaked raisins be used to cure arthritic pain
325,Ahng hirap nmn ng mga na iisip nila..,Kabataan Partylist Rep. Sarah Elago told the public to sneeze with their eyes open to avoid infecting others
326,The work has started in the morning and the mobile seems to be a mouse,A picture of Aam Aadmi Party MP Bhagwant Mann in Punjab with a liquor glass near his hand.
327,"This is the condition of government schools in a country which has a statue of 3200 crores. Look at this picture who has humanity in their heart, and now tell me, what is important school or a statue of 3200 crores.#ShamefulUttar Pradesh","जिस देश मे 3200 करोड़ की मूर्ति, हो वहां के सरकारी स्कूलों का ये हाल. देख लिजिये अब बताओ अपने दिल में इंसानियत रखने वालों देश में 3200 करोड़ की मूर्ति, ज़रूरी है य़ा स्कूल। #शर्मनाकउत्तरप्रदेश"
328,"Double L MC, out on the streets sharing his findings..
Well worth watching..
Double L MC, has broken down and made the connections for you to see as clear as possible...
His podcasts 'RISE ABOVE' on YouTube are enlightening to those who still need more information about what is going on in the World right now and worth checking out...
It's up to you to expand your knowledge or to at least look at thing's from a different angle when your future is on the line...
Humans can and do change when faced with precipitous decisions...
Respect and thanks to my good friend (Clarkie) for sharing..","In August, Serco were given £108 million to run the test and trace system."
